equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ147,Chaudière 147,Convoyeur,Station de pompage,Siemens,MOD-8945,SN169013,2018-12-08,Important,Arrêté
EQ148,Échangeur thermique 148,Pompe centrifuge,Chaufferie,Bosch Rexroth,MOD-6315,SN892739,2018-12-04,Critique,En maintenance
EQ149,Compresseur 149,Transformateur,Atelier C,Bosch Rexroth,MOD-2023,SN705345,2023-12-16,Standard,En maintenance
EQ150,Presse hydraulique 150,Réducteur,Zone de stockage,Schneider,MOD-1632,SN337520,2017-04-20,Important,En service
EQ151,Pompe centrifuge 151,Échangeur thermique,Atelier A,Bosch Rexroth,MOD-4132,SN709868,2017-08-07,Standard,Arrêté
EQ152,Chaudière 152,Convoyeur,Atelier A,Atlas Copco,MOD-6535,SN741543,2020-05-31,Critique,En service
EQ153,Échangeur thermique 153,Moteur électrique,Zone de stockage,ABB,MOD-1322,SN717688,2017-01-27,Important,En service
EQ154,Échangeur thermique 154,Convoyeur,Atelier C,Siemens,MOD-3107,SN432886,2016-04-29,Important,En service
EQ155,Groupe électrogène 155,Moteur électrique,Chaufferie,Grundfos,MOD-8086,SN541670,2022-11-22,Standard,En service
EQ156,Ventilateur 156,Réducteur,Atelier B,Atlas Copco,MOD-8029,SN203315,2017-09-12,Critique,En maintenance
EQ157,Convoyeur 157,Pompe centrifuge,Atelier C,Grundfos,MOD-9535,SN815946,2016-10-21,Standard,En service
EQ158,Groupe électrogène 158,Groupe électrogène,Ligne de production 2,ABB,MOD-2122,SN473368,2016-09-25,Important,En maintenance
EQ159,Transformateur 159,Chaudière,Zone de conditionnement,ABB,MOD-6287,SN829245,2019-03-06,Important,En service
EQ160,Robot industriel 160,Moteur électrique,Zone de stockage,Schneider,MOD-7990,SN961474,2020-07-04,Standard,En service
EQ161,Presse hydraulique 161,Ventilateur,Zone de stockage,Danfoss,MOD-9020,SN442338,2016-01-29,Important,En maintenance
EQ162,Convoyeur 162,Moteur électrique,Zone de stockage,ABB,MOD-9058,SN137714,2018-03-14,Critique,Arrêté
EQ163,Robot industriel 163,Échangeur thermique,Atelier C,Danfoss,MOD-5648,SN245130,2022-11-08,Important,En maintenance
EQ164,Compresseur 164,Moteur électrique,Ligne de production 2,Grundfos,MOD-2905,SN741769,2022-12-16,Important,En service
EQ165,Groupe électrogène 165,Moteur électrique,Ligne de production 2,ABB,MOD-8307,SN918588,2016-01-07,Important,Arrêté
EQ166,Presse hydraulique 166,Pompe centrifuge,Chaufferie,Danfoss,MOD-6635,SN473437,2022-10-31,Important,En service
EQ167,Transformateur 167,Convoyeur,Zone de stockage,Danfoss,MOD-1094,SN511681,2016-08-22,Important,Arrêté
EQ168,Robot industriel 168,Moteur électrique,Atelier A,Schneider,MOD-2493,SN527786,2016-06-26,Critique,En service
EQ169,Compresseur 169,Pompe centrifuge,Chaufferie,Grundfos,MOD-1629,SN470242,2018-09-28,Standard,En service
EQ170,Pompe centrifuge 170,Convoyeur,Atelier B,Bosch Rexroth,MOD-2944,SN485827,2023-11-30,Standard,En service
EQ171,Chaudière 171,Transformateur,Salle des machines,Grundfos,MOD-2643,SN756942,2015-12-03,Standard,En service
EQ172,Compresseur 172,Compresseur,Ligne de production 1,ABB,MOD-3342,SN230941,2019-06-20,Standard,En service
EQ173,Pompe centrifuge 173,Ventilateur,Zone de stockage,Bosch Rexroth,MOD-4984,SN101050,2024-01-18,Important,En service
EQ174,Réducteur 174,Échangeur thermique,Atelier A,Atlas Copco,MOD-7446,SN556974,2020-06-10,Important,Arrêté
EQ175,Réducteur 175,Transformateur,Chaufferie,ABB,MOD-1561,SN408897,2019-12-03,Important,En service
EQ176,Groupe électrogène 176,Pompe centrifuge,Ligne de production 1,Danfoss,MOD-6433,SN910743,2023-07-11,Important,Arrêté
EQ177,Ventilateur 177,Réducteur,Zone de conditionnement,ABB,MOD-8886,SN658884,2021-12-21,Standard,En maintenance
EQ178,Moteur électrique 178,Presse hydraulique,Zone de stockage,Grundfos,MOD-2403,SN947647,2022-09-18,Critique,En service
EQ179,Compresseur 179,Groupe électrogène,Atelier C,Siemens,MOD-7830,SN132441,2017-07-29,Important,En maintenance
EQ180,Réducteur 180,Compresseur,Zone de stockage,Atlas Copco,MOD-5152,SN644813,2023-02-06,Critique,Arrêté
EQ181,Chaudière 181,Groupe électrogène,Atelier A,Danfoss,MOD-7132,SN684496,2019-03-01,Standard,En service
EQ182,Réducteur 182,Transformateur,Atelier A,Schneider,MOD-2454,SN194092,2019-04-29,Important,En service
EQ183,Robot industriel 183,Ventilateur,Ligne de production 1,Atlas Copco,MOD-2062,SN188533,2019-04-27,Important,Arrêté
EQ184,Robot industriel 184,Compresseur,Atelier B,Bosch Rexroth,MOD-7420,SN695243,2022-05-27,Important,Arrêté
EQ185,Ventilateur 185,Ventilateur,Zone de stockage,Danfoss,MOD-8382,SN936891,2023-10-12,Standard,En service
EQ186,Groupe électrogène 186,Transformateur,Zone de stockage,Schneider,MOD-5470,SN195206,2022-01-03,Important,En service
EQ187,Moteur électrique 187,Robot industriel,Atelier A,ABB,MOD-6272,SN339232,2024-04-06,Standard,En service
EQ188,Presse hydraulique 188,Transformateur,Atelier C,Grundfos,MOD-5570,SN960399,2024-05-02,Important,En service
EQ189,Convoyeur 189,Pompe centrifuge,Zone de conditionnement,Bosch Rexroth,MOD-7496,SN582489,2016-08-06,Critique,En service
EQ190,Ventilateur 190,Convoyeur,Ligne de production 2,Atlas Copco,MOD-7504,SN676847,2020-08-08,Important,Arrêté
EQ191,Convoyeur 191,Chaudière,Ligne de production 2,Atlas Copco,MOD-9999,SN867128,2024-03-17,Standard,En service
EQ192,Ventilateur 192,Presse hydraulique,Zone de conditionnement,Atlas Copco,MOD-6906,SN158030,2024-05-10,Critique,En maintenance
EQ193,Transformateur 193,Pompe centrifuge,Ligne de production 1,Danfoss,MOD-6618,SN251908,2018-01-16,Important,En service
EQ194,Convoyeur 194,Pompe centrifuge,Zone de stockage,Atlas Copco,MOD-9325,SN687071,2016-07-30,Critique,Arrêté
EQ195,Réducteur 195,Ventilateur,Zone de stockage,Atlas Copco,MOD-4814,SN751834,2017-08-02,Critique,En service
EQ196,Moteur électrique 196,Compresseur,Ligne de production 1,Grundfos,MOD-4451,SN483131,2017-01-30,Critique,En service
EQ197,Compresseur 197,Pompe centrifuge,Station de pompage,Danfoss,MOD-7482,SN657075,2024-08-10,Critique,Arrêté
EQ198,Presse hydraulique 198,Pompe centrifuge,Atelier B,Grundfos,MOD-9316,SN227619,2024-06-13,Standard,En service
EQ199,Convoyeur 199,Presse hydraulique,Chaufferie,ABB,MOD-2498,SN645598,2020-03-01,Important,En maintenance
EQ200,Ventilateur 200,Échangeur thermique,Ligne de production 1,Grundfos,MOD-8303,SN799544,2019-04-02,Important,Arrêté
