equipment_id,equipment_name,equipment_type,location,manufacturer,model,serial_number,installation_date,criticality,status
EQ456,Groupe électrogène 456,Convoyeur,Ligne de production 2,ABB,MOD-3232,SN340555,2017-03-15,Standard,En maintenance
EQ457,Presse hydraulique 457,Compresseur,Atelier A,Grundfos,MOD-8495,SN138405,2015-12-21,Important,En service
EQ458,Échangeur thermique 458,Robot industriel,Salle des machines,Grundfos,MOD-8037,SN387695,2022-06-01,Critique,En service
EQ459,Chaudière 459,Convoyeur,Salle des machines,Atlas Copco,MOD-3963,SN145351,2016-01-13,Critique,En service
EQ460,Groupe électrogène 460,Transformateur,Station de pompage,Danfoss,MOD-5185,SN804477,2024-09-08,Critique,Arrêté
EQ461,Moteur électrique 461,Robot industriel,Salle des machines,Bosch Rexroth,MOD-4332,SN132629,2018-12-16,Critique,En service
EQ462,Groupe électrogène 462,Transformateur,Ligne de production 2,Danfoss,MOD-3838,SN116743,2023-08-28,Standard,Arrêté
EQ463,Compresseur 463,Compresseur,Zone de conditionnement,ABB,MOD-2908,SN248925,2022-05-13,Important,Arrêté
EQ464,Presse hydraulique 464,Réducteur,Chaufferie,Atlas Copco,MOD-3318,SN542133,2019-03-29,Important,Arrêté
EQ465,Presse hydraulique 465,Transformateur,Atelier B,ABB,MOD-5427,SN825797,2016-11-18,Important,En maintenance
EQ466,Chaudière 466,Échangeur thermique,Zone de stockage,Grundfos,MOD-9589,SN159879,2024-09-29,Important,En maintenance
EQ467,Chaudière 467,Réducteur,Chaufferie,Grundfos,MOD-2516,SN562786,2020-04-09,Important,Arrêté
EQ468,Pompe centrifuge 468,Convoyeur,Ligne de production 2,Bosch Rexroth,MOD-8858,SN358968,2024-06-05,Critique,En service
EQ469,Moteur électrique 469,Convoyeur,Zone de conditionnement,ABB,MOD-4100,SN280890,2016-08-23,Standard,En service
EQ470,Transformateur 470,Chaudière,Atelier B,Danfoss,MOD-2918,SN328742,2018-06-04,Standard,En service
EQ471,Convoyeur 471,Groupe électrogène,Ligne de production 2,Grundfos,MOD-1108,SN665389,2022-05-27,Standard,En service
EQ472,Groupe électrogène 472,Réducteur,Chaufferie,Schneider,MOD-6063,SN172996,2018-10-15,Critique,En maintenance
EQ473,Échangeur thermique 473,Groupe électrogène,Salle des machines,ABB,MOD-7046,SN382388,2016-01-02,Critique,En service
EQ474,Échangeur thermique 474,Transformateur,Ligne de production 1,Siemens,MOD-4266,SN907552,2021-09-26,Critique,En service
EQ475,Échangeur thermique 475,Pompe centrifuge,Atelier B,Bosch Rexroth,MOD-9559,SN499044,2018-08-04,Critique,En service
EQ476,Chaudière 476,Chaudière,Chaufferie,Siemens,MOD-8308,SN554197,2017-04-10,Standard,En maintenance
EQ477,Ventilateur 477,Chaudière,Station de pompage,ABB,MOD-9052,SN177215,2021-01-25,Important,En maintenance
EQ478,Convoyeur 478,Convoyeur,Zone de stockage,Siemens,MOD-3607,SN966098,2022-09-13,Standard,En service
EQ479,Presse hydraulique 479,Convoyeur,Atelier B,Schneider,MOD-9284,SN711901,2024-06-27,Important,En service
EQ480,Robot industriel 480,Moteur électrique,Zone de conditionnement,Schneider,MOD-6343,SN493267,2022-01-30,Important,Arrêté
EQ481,Robot industriel 481,Ventilateur,Atelier C,Siemens,MOD-1510,SN369664,2016-06-02,Critique,En service
EQ482,Échangeur thermique 482,Échangeur thermique,Atelier A,ABB,MOD-4613,SN357593,2019-05-07,Standard,En maintenance
EQ483,Groupe électrogène 483,Réducteur,Zone de stockage,Grundfos,MOD-6596,SN926936,2024-08-19,Standard,En service
EQ484,Échangeur thermique 484,Réducteur,Ligne de production 2,Bosch Rexroth,MOD-3736,SN444355,2018-01-27,Critique,En maintenance
EQ485,Compresseur 485,Groupe électrogène,Zone de stockage,Atlas Copco,MOD-4033,SN113498,2020-12-19,Important,En maintenance
EQ486,Robot industriel 486,Presse hydraulique,Zone de stockage,Grundfos,MOD-2161,SN694536,2017-01-09,Important,En service
EQ487,Chaudière 487,Moteur électrique,Ligne de production 2,Siemens,MOD-8144,SN762939,2016-11-21,Important,En service
EQ488,Réducteur 488,Presse hydraulique,Atelier C,Bosch Rexroth,MOD-3496,SN406234,2015-12-24,Important,En maintenance
EQ489,Ventilateur 489,Groupe électrogène,Salle des machines,Atlas Copco,MOD-1448,SN397318,2023-10-23,Standard,En maintenance
EQ490,Convoyeur 490,Moteur électrique,Chaufferie,ABB,MOD-8311,SN142497,2024-08-23,Standard,En service
EQ491,Réducteur 491,Robot industriel,Zone de stockage,Siemens,MOD-1742,SN703729,2020-11-20,Critique,En service
EQ492,Pompe centrifuge 492,Robot industriel,Atelier A,Bosch Rexroth,MOD-4889,SN757153,2016-09-04,Important,Arrêté
EQ493,Réducteur 493,Groupe électrogène,Zone de stockage,ABB,MOD-6724,SN258580,2019-10-15,Important,En service
EQ494,Transformateur 494,Ventilateur,Zone de stockage,ABB,MOD-9088,SN615959,2018-04-21,Important,En service
EQ495,Transformateur 495,Convoyeur,Atelier B,Atlas Copco,MOD-2974,SN266128,2024-03-19,Standard,En service
EQ496,Compresseur 496,Moteur électrique,Ligne de production 2,Danfoss,MOD-4830,SN449240,2020-04-03,Standard,En service
EQ497,Presse hydraulique 497,Transformateur,Zone de conditionnement,Danfoss,MOD-5100,SN283054,2019-11-02,Critique,En maintenance
EQ498,Réducteur 498,Compresseur,Atelier A,ABB,MOD-8751,SN728155,2024-07-15,Important,En service
EQ499,Presse hydraulique 499,Échangeur thermique,Ligne de production 2,Schneider,MOD-9677,SN325286,2023-06-22,Standard,Arrêté
EQ500,Échangeur thermique 500,Réducteur,Atelier A,Grundfos,MOD-4874,SN239095,2020-05-07,Standard,En maintenance
